Title,Link,Score,Image Link,Genres
,https://myanimelist.net/manga/2/Berserk,9.47,https://cdn.myanimelist.net/r/50x70/images/manga/1/157897.webp?s=02c04eadff9662dfaeec92647b2f7981,
,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,9.32,https://cdn.myanimelist.net/r/50x70/images/manga/3/179882.webp?s=f68700b15374734b10ad35b411f27715,"Action, Adventure, Mystery, Supernatural"
,https://myanimelist.net/manga/656/Vagabond,9.26,https://cdn.myanimelist.net/r/50x70/images/manga/1/259070.webp?s=5b74ed89bfde3f82e8fbd7a0d0e89c3c,"Action, Adventure, Award Winning"
,https://myanimelist.net/manga/13/One_Piece,9.22,https://cdn.myanimelist.net/r/50x70/images/manga/2/253146.webp?s=f187c8dac64a74991c56ae9fc91e71d8,"Action, Adventure, Fantasy"
,https://myanimelist.net/manga/1/Monster,9.16,https://cdn.myanimelist.net/r/50x70/images/manga/3/258224.webp?s=27378e483139cd03cbeb7c8fda1a8fe7,"Award Winning, Drama, Mystery"
,https://myanimelist.net/manga/51/Slam_Dunk,9.08,https://cdn.myanimelist.net/r/50x70/images/manga/2/258749.webp?s=078423ac2ff940e8ddc849f028a39f22,"Award Winning, Sports"
,https://myanimelist.net/manga/130826/Tian_Guan_Cifu,9.05,https://cdn.myanimelist.net/r/50x70/images/manga/3/258775.webp?s=cfadc0df9e7860b1787bad7ba2c18fd8,"Action, Adventure, Boys Love, Supernatural"
,https://myanimelist.net/manga/25/Fullmetal_Alchemist,9.04,https://cdn.myanimelist.net/r/50x70/images/manga/3/243675.webp?s=c59d3854cfd8932b09b39764ae1b4ad5,"Action, Adventure, Award Winning, Drama, Fantasy"
,https://myanimelist.net/manga/70345/Grand_Blue,9.03,https://cdn.myanimelist.net/r/50x70/images/manga/2/166124.webp?s=ed0158fbd391f52623459e351f823321,
,https://myanimelist.net/manga/16765/Kingdom,9.01,https://cdn.myanimelist.net/r/50x70/images/manga/2/171872.webp?s=b04558179bdcdd478fc20b42a5b5dc3f,"Action, Award Winning"
,https://myanimelist.net/manga/143441/Omniscient_Readers_Viewpoint,9.01,https://cdn.myanimelist.net/r/50x70/images/manga/1/265768.webp?s=837548af8ea2c220507d3792a524206e,"Action, Adventure, Fantasy"
,https://myanimelist.net/manga/162032/Guimi_Zhi_Zhu,9.00,https://cdn.myanimelist.net/r/50x70/images/manga/2/287344.webp?s=17e5353a924b29d14ecde6ff641f3f7a,"Action, Mystery, Supernatural, Suspense"
,https://myanimelist.net/manga/4632/Oyasumi_Punpun,9.00,https://cdn.myanimelist.net/r/50x70/images/manga/3/266834.webp?s=4d853e80fed182702817f283f4775b53,"Drama, Slice of Life"
